time,thrust
0.78,392.444313
0.781,392.2347017
0.782,392.7763256
0.783,393.3093476
0.784,394.027311
0.785,394.2463626
0.786,393.0059535
0.787,391.7268357
0.788,391.7136351
0.789,392.8143845
0.79,394.4900294
0.791,396.2731984
0.792,396.7832819
0.793,395.5643776
0.794,394.5375831
0.795,393.1953844
0.796,393.1420416
0.797,394.9854241
0.798,398.1018922
0.799,398.0528503
0.8,394.4770174
0.801,390.3979716
0.802,388.6127736
0.803,390.4145802
0.804,392.302406
0.805,390.4397907
0.806,385.5765357
0.807,383.6221664
0.808,385.3350864
0.809,389.0321847
0.81,391.0031625
0.811,389.7154427
0.812,387.7682418
0.813,387.8396269
0.814,388.7324962
0.815,390.2604747
0.816,391.4300394
0.817,391.1114704
0.818,389.7162266
0.819,388.9833313
0.82,389.2511271
0.821,389.9432848
0.822,391.0755745
0.823,390.5864005
0.824,389.8348677
0.825,389.6266901
0.826,391.0528791
0.827,392.890527
0.828,393.8178041
0.829,393.5049697
0.83,393.1190189
0.831,392.2814668
0.832,392.2324249
0.833,391.7317817
0.834,391.5107012
0.835,393.9562188
0.836,396.4318431
0.837,396.4630859
0.838,394.2592607
0.839,391.9722835
0.84,390.4809848
0.841,391.9774228
0.842,393.0609683
0.843,392.161769
0.844,390.1887623
0.845,389.6064008
0.846,390.1680958
0.847,391.7104108
0.848,392.0455884
0.849,391.0532016
0.85,390.8349884
0.851,391.3952499
0.852,391.5669908
0.853,391.1294284
0.854,390.251734
0.855,389.9231294
0.856,391.0912605
0.857,392.365482
0.858,392.7379346
0.859,391.686768
0.86,389.3868879
0.861,386.13076
0.862,384.8143672
0.863,386.5129506
0.864,388.8308729
0.865,390.6799901
0.866,390.7485079
0.867,387.8794668
0.868,384.1717376
0.869,384.5771643
0.87,388.1438
0.871,391.7907204
0.872,393.2154757
0.873,391.1263429
0.874,389.054414
0.875,388.8189969
0.876,391.1283173
0.877,393.4175665
0.878,393.844498
0.879,393.0083796
0.88,392.2969891
0.881,392.5504484
0.882,393.33436
0.883,393.5849519
0.884,393.4513244
0.885,392.967885
0.886,391.4120719
0.887,390.5945909
0.888,391.8229355
0.889,393.9129067
0.89,395.0767368
0.891,395.0463324
0.892,393.0317497
0.893,392.4995661
0.894,394.9952616
0.895,396.4572919
0.896,395.4505685
0.897,392.9915528
0.898,390.490961
0.899,389.5100434
0.9,388.4488412
0.901,389.0951219
0.902,389.4130956
0.903,390.3962853
0.904,390.917838
0.905,387.7563313
0.906,383.8464568
0.907,382.6533583
0.908,384.8508536
0.909,388.1479622
0.91,390.4042373
0.911,389.2641841
0.912,387.8804095
0.913,388.1123639
0.914,389.6145366
0.915,390.3726424
0.916,390.263387
0.917,389.6036081
0.918,390.1853743
0.919,391.5527834
0.92,391.7861715
0.921,390.1859151
0.922,388.6888817
0.923,388.3989858
0.924,388.7298624
0.925,388.6636167
0.926,388.0554493
0.927,387.9232555
0.928,388.1867503
0.929,389.6158066
0.93,391.7115124
0.931,394.0050625
0.932,394.4262594
0.933,393.1256368
0.934,391.4723351
0.935,390.3781588
0.936,392.4365896
0.937,397.2806118
0.938,399.5813302
0.939,396.4384611
0.94,392.8067156
0.941,389.8602572
0.942,390.8936247
0.943,393.6717502
0.944,395.0965055
0.945,393.3786893
0.946,391.2178738
0.947,390.4304996
0.948,393.3390877
0.949,397.0075129
0.95,398.2716989
0.951,395.7897447
0.952,393.0024219
0.953,391.1699134
0.954,391.9308865
0.955,393.6782141
0.956,395.0499242
0.957,393.8080814
0.958,390.8960307
0.959,388.9258913
0.96,388.7764936
0.961,389.6492917
0.962,391.165801
0.963,389.8823822
0.964,385.3961784
0.965,383.3686928
0.966,384.9339463
0.967,387.9228191
0.968,390.7195821
0.969,390.3164274
0.97,389.0516462
0.971,388.1596152
0.972,389.2202222
0.973,390.1847743
0.974,391.321365
0.975,391.5991964
0.976,391.9587461
0.977,392.6078941
0.978,393.1566863
0.979,393.1205473
0.98,393.4772297
0.981,394.9335254
0.982,396.2966336
0.983,396.32931
0.984,395.3871011
0.985,394.350271
0.986,394.2352809
0.987,397.8549619
0.988,401.0603165
0.989,400.8033947
0.99,398.2612269
0.991,396.3011231
0.992,395.1940439
0.993,396.5858251
0.994,397.9388977
0.995,397.8396778
0.996,395.7706162
0.997,394.0284279
0.998,393.0761834
0.999,392.717472
1,391.8426449
1.001,389.849567
1.002,388.2837182
1.003,388.7192517
1.004,389.7870269
1.005,390.8046242
1.006,389.1412869
1.007,384.9432478
1.008,382.8039371
1.009,385.6480107
1.01,388.5465632
1.011,391.0035501
1.012,390.0097296
1.013,388.1184412
1.014,387.9719107
1.015,389.8482673
1.016,391.2343139
1.017,391.7659023
1.018,389.3886048
1.019,386.1511145
1.02,386.2526063
1.021,390.4930598
1.022,393.1794314
1.023,393.2336127
1.024,390.5910891
1.025,386.9736802
1.026,385.4279026
1.027,387.363039
1.028,389.7770162
1.029,389.8527023
1.03,388.425918
1.031,386.9962665
1.032,387.3586835
1.033,388.3820155
1.034,388.887798
1.035,388.7183291
1.036,387.9624953
1.037,387.275477
1.038,387.0414936
1.039,387.5630463
1.04,388.0917673
1.041,387.9509715
1.042,387.5205774
1.043,386.9152774
1.044,385.663399
1.045,385.5641792
1.046,386.2635052
1.047,387.1061966
1.048,386.7431842
1.049,385.5013415
1.05,384.2982074
1.051,383.582516
1.052,383.5234385
1.053,383.9489363
1.054,383.6145971
1.055,383.1569636
1.056,381.8950496
1.057,378.9199181
1.058,376.5684265
1.059,376.4003912
1.06,377.3190663
1.061,378.9488343
1.062,379.831668
1.063,378.7718994
1.064,378.4475958
1.065,379.1225496
1.066,380.006817
1.067,379.9764126
1.068,379.249252
1.069,377.8783803
1.07,377.7762931
1.071,378.9057155
1.072,380.0466072
1.073,379.6033102
1.074,378.579383
1.075,377.6859183
1.076,377.1293626
1.077,379.0143211
1.078,381.7508706
1.079,381.6186767
1.08,379.8994269
1.081,377.8748086
1.082,376.3519694
1.083,376.811875
1.084,376.863189
1.085,376.3639794
1.086,375.5020552
1.087,374.8408427
1.088,374.7186843
1.089,375.0696322
1.09,374.7338593
1.091,374.2561546
1.092,373.7483431
1.093,373.5616703
1.094,373.4896899
1.095,373.893683
1.096,374.625983
1.097,374.9138499
1.098,374.4877568
1.099,374.0387252
1.1,373.8090428
1.101,373.9048
1.102,373.9489456
1.103,373.4956131
1.104,373.0179083
1.105,372.9086529
1.106,373.1133679
1.107,373.4843869
1.108,373.6159855
1.109,372.3612399
1.11,371.3086395
1.111,371.5233901
1.112,372.3302402
1.113,373.3578731
1.114,374.3152569
1.115,375.5479025
1.116,376.5009853
1.117,376.7200369
1.118,375.8595463
1.119,374.968949
1.12,373.9091804
1.121,373.9361222
1.122,374.9436839
1.123,375.8351196
1.124,375.6556151
1.125,375.3556836
1.126,374.619921
1.127,374.0475951
1.128,373.8924627
1.129,373.9222718
1.13,374.2459802
1.131,374.1625306
1.132,374.0446732
1.133,373.8493985
1.134,373.1967879
1.135,372.5155042
1.136,372.4650286
1.137,372.992316
1.138,373.9611691
1.139,374.5873786
1.14,374.0580623
1.141,373.4972056
1.142,373.1714683
1.143,372.9561224
1.144,373.1077922
1.145,373.2953034
1.146,372.8778121
1.147,371.1728989
1.148,368.5260743
1.149,367.8949685
1.15,369.5892509
1.151,371.891403
1.152,373.8595135
1.153,373.89219
1.154,373.6969153
1.155,373.8414167
1.156,374.5980889
1.157,374.906027
1.158,375.8361714
1.159,377.309671
1.16,378.1437605
1.161,376.4933261
1.162,374.7267656
1.163,374.1974493
1.164,374.8595002
1.165,377.682069
1.166,378.9132809
1.167,378.2276963
1.168,377.0546689
1.169,377.2493484
1.17,377.8898944
1.171,378.553379
1.172,377.7746068
1.173,378.1613959
1.174,379.0772038
1.175,379.0640032
1.176,377.9139144
1.177,376.5244052
1.178,375.6467107
1.179,376.2399462
1.18,377.2231358
1.181,377.568349
1.182,377.370207
1.183,376.8279878
1.184,376.9409489
1.185,376.5564317
1.186,376.6665255
1.187,376.6203509
1.188,377.1734441
1.189,377.1201012
1.19,376.577882
1.191,374.5719012
1.192,373.5924173
1.193,373.7268832
1.194,375.3853242
1.195,376.3126013
1.196,376.3610479
1.197,374.9901762
1.198,374.2945559
1.199,374.7042836
1.2,376.7999894
1.201,378.3494727
1.202,379.3928758
1.203,379.5603158
1.204,380.4388486
1.205,382.1474675
1.206,383.0403369
1.207,382.3461503
1.208,381.3996404
1.209,379.9871927
1.21,379.3446177
1.211,380.5113151
1.212,382.4192121
1.213,382.9163927
1.214,382.0415656
1.215,380.8025902
1.216,380.1055363
1.217,380.4894581
1.218,382.3342743
1.219,384.040026
1.22,383.6268357
1.221,382.0538187
1.222,380.1610966
1.223,379.1515059
1.224,380.6164036
1.225,382.671967
1.226,382.8408407
1.227,381.257788
1.228,378.0991487
1.229,374.0559443
1.23,373.0578229
1.231,374.7392024
1.232,377.2148267
1.233,378.111997
1.234,377.9410945
1.235,374.8355004
1.236,371.9721939
1.237,370.9339301
1.238,372.2382584
1.239,373.7447321
1.24,375.2096297
1.241,375.2394388
1.242,374.3861165
1.243,373.3148787
1.244,375.1224199
1.245,378.4826093
1.246,380.267212
1.247,379.8912967
1.248,377.8035976
1.249,375.1051615
1.25,374.87978
1.251,376.9482464
1.252,378.5536422
1.253,378.0314942
1.254,376.0369826
1.255,372.4783535
1.256,368.7820936
1.257,368.1094118
1.258,371.4753359
1.259,374.180345
1.26,374.8940075
1.261,372.9883825
1.262,368.8605924
1.263,366.9721713
1.264,368.2377909
1.265,370.6818749
1.266,372.1424715
1.267,371.7034755
1.268,369.1412366
1.269,367.3746761
1.27,367.0962495
1.271,367.6737147
1.272,367.7178604
1.273,367.1039585
1.274,364.9187708
1.275,361.899196
1.276,361.7540992
1.277,364.8576644
1.278,367.8408025
1.279,369.5322176
1.28,369.0631148
1.281,366.2714912
1.282,366.0375078
1.283,369.7833503
1.284,373.4603774
1.285,373.633552
1.286,371.8225483
1.287,367.9384796
1.288,366.9245879
1.289,367.1895165
1.29,368.2171494
1.291,368.1523372
1.292,368.1133309
1.293,366.9704103
1.294,364.5974139
1.295,362.3720838
1.296,361.7280752
1.297,362.6639542
1.298,364.7381551
1.299,366.094095
1.3,364.1239556
1.301,361.4126165
1.302,361.0080282
1.303,363.0377859
1.304,364.2259881
1.305,364.7905505
1.306,364.046186
1.307,363.4910639
1.308,364.5746094
1.309,366.0466753
1.31,364.794797
1.311,362.7400719
1.312,360.9620422
1.313,359.6370474
1.314,357.8805226
1.315,356.5497932
1.316,356.6584533
1.317,357.8237171
1.318,359.4921937
1.319,361.726964
1.32,363.759589
1.321,363.8467443
1.322,362.465837
1.323,361.5107252
1.324,360.9570368
1.325,361.5488386
1.326,363.6861204
1.327,364.5517503
1.328,362.1543817
1.329,360.2473231
1.33,360.8276557
1.331,364.0659844
1.332,368.8440585
1.333,370.571315
1.334,368.4520754
1.335,365.6977268
1.336,364.493159
1.337,365.188184
1.338,368.3161213
1.339,370.5093156
1.34,369.7577828
1.341,368.0327984
1.342,367.6941582
1.343,369.4644243
1.344,372.2697893
1.345,374.0644276
1.346,372.5616596
1.347,368.8797362
1.348,365.5404564
1.349,365.5372914
1.35,369.0279434
1.351,372.4784531
1.352,370.4294626
1.353,364.8909561
1.354,361.021224
1.355,361.5141036
1.356,364.9345065
1.357,369.3211928
1.358,370.4033046
1.359,368.728498
1.36,366.2637477
1.361,365.8964344
1.362,366.4538285
1.363,368.1409426
1.364,369.8825357
1.365,371.3431324
1.366,371.0561037
1.367,369.9647948
1.368,368.320095
1.369,368.1893347
1.37,369.5610448
1.371,371.0804213
1.372,371.3123758
1.373,370.3027851
1.374,369.3276021
1.375,368.4699789
1.376,368.5872409
1.377,369.0457129
1.378,368.8762439
1.379,368.5361701
1.38,369.0147132
1.381,369.5764083
1.382,370.3359477
1.383,371.0051669
1.384,371.8005477
1.385,373.8862179
1.386,374.7031035
1.387,373.5616166
1.388,371.4495453
1.389,368.893041
1.39,365.7229325
1.391,364.7735553
1.392,366.4879089
1.393,369.0108438
1.394,370.4929453
1.395,370.4697092
1.396,370.2902047
1.397,371.6977562
1.398,372.3153638
1.399,371.8864033
1.4,369.8632186
1.401,366.5698157
1.402,364.3330165
1.403,365.3334099
1.404,368.0527556
1.405,367.811604
1.406,366.8450229
1.407,364.7945988
1.408,362.8316276
1.409,361.7732927
1.41,362.6446572
1.411,364.1611664
1.412,363.6232482
