time,thrust
4.1582,73.26193657
4.1584,73.26193657
4.1586,73.26193657
4.1588,73.26193657
4.159,73.26193657
4.1592,73.26193657
4.1594,73.26193657
4.1596,73.26193657
4.1598,73.26193657
4.16,73.26193657
4.1602,73.30621401
4.1604,73.35049144
4.1606,73.39476888
4.1608,73.43904631
4.161,73.48332375
4.1612,73.52760118
4.1614,73.52760118
4.1616,73.52760118
4.1618,73.52760118
4.162,73.52760118
4.1622,73.48332375
4.1624,73.43904631
4.1626,73.39476888
4.1628,73.35049144
4.163,73.30621401
4.1632,73.26193657
4.1634,73.26193657
4.1636,73.26193657
4.1638,73.26193657
4.164,73.26193657
4.1642,73.21765914
4.1644,73.1733817
4.1646,73.12910427
4.1648,73.08482683
4.165,73.0405494
4.1652,72.99627196
4.1654,72.95199453
4.1656,72.90771709
4.1658,72.86343966
4.166,72.86343966
4.1662,72.90771709
4.1664,72.95199453
4.1666,72.99627196
4.1668,73.0405494
4.167,73.08482683
4.1672,73.12910427
4.1674,73.1733817
4.1676,73.21765914
4.1678,73.21765914
4.168,73.1733817
4.1682,73.12910427
4.1684,73.08482683
4.1686,73.0405494
4.1688,72.99627196
4.169,72.95199453
4.1692,72.90771709
4.1694,72.90771709
4.1696,72.90771709
4.1698,72.95199453
4.17,72.99627196
4.1702,73.0405494
4.1704,73.0405494
4.1706,73.0405494
4.1708,73.0405494
4.171,72.99627196
4.1712,72.95199453
4.1714,72.86343966
4.1716,72.77488479
4.1718,72.68632992
4.172,72.59777505
4.1722,72.50922018
4.1724,72.46494274
4.1726,72.46494274
4.1728,72.46494274
4.173,72.50922018
4.1732,72.55349761
4.1734,72.59777505
4.1736,72.64205248
4.1738,72.68632992
4.174,72.73060735
4.1742,72.77488479
4.1744,72.77488479
4.1746,72.73060735
4.1748,72.68632992
4.175,72.64205248
4.1752,72.59777505
4.1754,72.55349761
4.1756,72.50922018
4.1758,72.46494274
4.176,72.42066531
4.1762,72.37638787
4.1764,72.37638787
4.1766,72.37638787
