time [sec],pos_east [m],pos_north [m],pos_up [m],vel_east [m/s],vel_north [m/s],vel_up [m/s],altitude [km],downrange [km],vel_air_east [m/s],vel_air_north [m/s],vel_air_up [m/s],vel_air_abs [m/s]
0.58,0.2670041568223274,0.041811735149156676,7.645546881847532,0.9246860848128111,0.1448019766225255,24.483006443570712,0.007645546881847532,2.702581006308326E-4,-1.246792960864642,-0.19524256732899728,24.483006443570712,24.515509720649984
0.59,0.2763688553328743,0.04327820780087364,7.892368746937324,0.9482626043034985,0.1484939610485938,24.88208225992414,0.007892368746937325,2.7973692546472807E-4,-1.2386027568437359,-0.19396001560615078,24.88208225992414,24.913646358302238
0.6,0.2859692417943476,0.04478158820076674,8.14319391736605,0.9718180706508586,0.15218264864039807,25.283660839373177,0.00814319391736605,2.89454310546962E-4,-1.2303044065537525,-0.19266052862950947,25.283660839373177,25.314309638078818
0.61,0.2958051006592429,0.04632184259499758,8.398052163393277,0.995356957793135,0.15586873999797066,25.688868584985954,0.008398052163393278,2.9941003770318146E-4,-1.2218980557222352,-0.19134412921939783,25.688868584985954,25.71862392530057
0.62,0.3058762093531332,0.047898936129341,8.65698322784932,1.0188475748205508,0.15954727245727665,26.09775886217328,0.008656983227849321,3.0960388164647494E-4,-1.2134203247531108,-0.1900165519780341,26.09775886217328,26.126643733987216
0.63,0.31618133010975247,0.04951267497477236,8.920005373514837,1.0421425436212448,0.16319516722189112,26.506722248489062,0.008920005373514837,3.20034589526085E-4,-1.2050220240957337,-0.18870141319155112,26.506722248489062,26.534769843743536
0.64,0.3267182524161335,0.05116271297419875,9.187116432053706,1.0651799161896927,0.1668027234930294,26.914801224077102,0.009187116432053706,3.3069992388981974E-4,-1.1967672533373093,-0.1874087505874333,26.914801224077102,26.9420470423099
0.65,0.3374832349466512,0.05284846425166226,9.458274276707746,1.087765742676964,0.17033956953486462,27.316615909738168,0.009458274276707746,3.4159609781702103E-4,-1.1888499243617892,-0.18616892995635054,27.316615909738168,27.343107500306115
0.66,0.3484724250163068,0.05456932549279242,9.733443385700824,1.1100287414573686,0.1738258621069001,27.71750186067731,0.009733443385700823,3.5271921167053536E-4,-1.18114176359195,-0.18496186419216432,27.71750186067731,27.743273349652824
0.67,0.35968268265201475,0.05632480499092597,10.012623254225522,1.1319380091366857,0.177256761866746,28.11750651868417,0.010012623254225523,3.640660872108466E-4,-1.173676002487545,-0.18379275720259802,28.11750651868417,28.142591706604815
0.68,0.37110941029747696,0.05811418278795979,10.295773101881405,1.1532845023873168,0.18059953350289162,28.51027648168973,0.010295773101881405,3.756320708518556E-4,-1.1666619218045464,-0.1826943814794533,28.51027648168973,28.534721697244628
0.6900000000000001,0.3827466076422066,0.05993651926034692,10.582811962161216,1.1740750307539132,0.18385524336157225,28.897052042515405,0.010582811962161216,3.8741108915809724E-4,-1.1600910796397728,-0.1816654150559708,28.897052042515405,28.92089954313197
0.7000000000000001,0.3945892824467653,0.061791032644253854,10.873706087844766,1.1943890023638615,0.1870363264236904,29.281879213064297,0.010873706087844767,3.993980890503814E-4,-1.1538849541671572,-0.18069356174233075,29.281879213064297,29.3051625298205
0.71,0.4066330948961211,0.06367704334278268,11.16845911446715,1.2142958690444203,0.19015365855515592,29.668816256515402,0.011168459114467151,4.115886778249329E-4,-1.1479767782917034,-0.1797683660904762,29.668816256515402,29.691561518583296
0.72,0.4188734797233161,0.06559383645420602,11.46707970048782,1.233692195083162,0.19319104215566008,30.055163846942385,0.01146707970048782,4.2397823457849865E-4,-1.142472795814443,-0.1789064654356562,30.055163846942385,30.07740223954029
0.73,0.43130508089992914,0.06754057324685588,11.769558619645643,1.2525113578241673,0.1961380443957016,30.439500646684046,0.011769558619645643,4.365613380094581E-4,-1.137441510023237,-0.17811858710647493,30.439500646684046,30.461265552161077
0.74,0.44392177702201724,0.06951629513445619,12.075867785558628,1.2707373213882338,0.19899215412361132,30.82263733061813,0.012075867785558629,4.493317921131404E-4,-1.1328999538309836,-0.1774073983859118,30.82263733061813,30.843960635839338
0.75,0.4567175101796941,0.07152005347363471,12.38599639460642,1.2883281124536012,0.20174679849260788,31.204142855142084,0.012385996394606422,4.6228346515272484E-4,-1.1288918643717814,-0.1767797483263893,31.204142855142084,31.22505691339854
0.76,0.4696862944168319,0.07355091088867709,12.699954554008386,1.3053207148611257,0.20440776901761407,31.58754459775475,0.012699954554008385,4.7541029822204E-4,-1.1253828666614287,-0.17623025394903427,31.58754459775475,31.608076774997357
0.77,0.4828216815672544,0.07560785762370698,13.01774722014709,1.3216155342096583,0.20695946963161443,31.969543017286924,0.01301774722014709,4.887057645719743E-4,-1.1224748381961294,-0.1757748688440069,31.969543017286924,31.989725339568945
0.78,0.4961158370069297,0.0776896668093419,13.339321104237355,1.33708052084118,0.2093812219099984,32.34431044424629,0.013339321104237354,5.021619340989846E-4,-1.1202996390839626,-0.17543424175318914,32.34431044424629,32.36418184611332
0.79,0.5095607448085966,0.07979508318487119,13.664627350848727,1.3517753224859217,0.2116823664380523,32.71689922162926,0.013664627350848727,5.157706931867806E-4,-1.118797703836308,-0.17519904496998737,32.71689922162926,32.73649183534658
0.8,0.5231489903784408,0.08192294565588916,13.993673775759376,1.3657450188910791,0.21386996251579898,33.09261117634407,0.013993673775759377,5.295245368808888E-4,-1.1179263416194989,-0.17506259328825396,33.09261117634407,33.11195132705936
0.81,0.5368724744287479,0.08407198590778654,14.326441661840878,1.3788025420439438,0.2159147160742047,33.459897838354976,0.014326441661840878,5.434152671886626E-4,-1.1178738840795917,-0.17505437865672424,33.459897838354976,33.47902402115907
0.8200000000000001,0.550722369343724,0.08624082157282069,14.662880355320164,1.3910366746272664,0.21783053011036574,33.82800303326839,0.014662880355320164,5.574339489133401E-4,-1.1185515788074987,-0.17516050281903112,33.82800303326839,33.84694414648117
0.8300000000000001,0.5646903658015391,0.08842815144591756,15.003006688093071,1.4024232693233314,0.21961362325523945,34.19816208596365,0.015003006688093071,5.715721714685016E-4,-1.1199861916443883,-0.17538515719404715,34.19816208596365,34.216946372823514
0.84,0.5787678624191881,0.09063262858644375,15.34684854731778,1.412924908518795,0.2212581360669442,34.570513857995614,0.015346848547317781,5.858212286472423E-4,-1.1222180487287259,-0.17573465668653318,34.570513857995614,34.589170045323726
0.85,0.5929456423494625,0.09285280967464353,15.694403260019477,1.422471225505752,0.2227530494130842,34.94025075665377,0.015694403260019477,6.001717912778742E-4,-1.1253191858019227,-0.1762202817925573,34.94025075665377,34.95881176177893
0.86,0.6072140583947341,0.09508718399968394,16.045653156783494,1.4310484369019647,0.2240962048736017,35.309837694472215,0.016045653156783496,6.146140945936672E-4,-1.1293044700742103,-0.17684436065511178,35.309837694472215,35.328334811083245
0.87,0.6215631975318668,0.09733419922356837,16.40057525016968,1.4386111937083126,0.22528050098474775,35.67436497541751,0.01640057525016968,6.29138104762803E-4,-1.1342201338346116,-0.1776141330574529,35.67436497541751,35.692832872882946
0.88,0.6359829062380293,0.09959226534705291,16.759164933057054,1.4451565299871632,0.22630547329308373,36.04408455571885,0.016759164933057055,6.437335445228312E-4,-1.1400706533590095,-0.17853029996567768,36.04408455571885,36.06255212297746
0.89,0.6504627890006454,0.10185975447631099,17.121460592826597,1.4506401899754695,0.22716419153106104,36.4150008193757,0.0171214605928266,6.583898916724591E-4,-1.1469031986372467,-0.1796002480030724,36.4150008193757,36.43350007714411
0.9,0.6649920516919405,0.1041349762960417,17.487473071545224,1.4550307685978205,0.22785173779511217,36.78638361131742,0.017487473071545225,6.730962205373268E-4,-1.1547510371719019,-0.18082918672151596,36.78638361131742,36.8049476069675
0.91,0.6795597663173314,0.10641621952796133,17.857163092317457,1.4583284131755159,0.22836813515513682,37.150719480515605,0.017857163092317458,6.878414699448481E-4,-1.1636141776494204,-0.18221711748126945,37.150719480515605,37.16938469967308
0.92,0.6941547467433828,0.10870173247032074,18.23050187483479,1.4604717981855975,0.22870378029051905,37.517558692139914,0.01823050187483479,7.026143174376816E-4,-1.1735544756489593,-0.18377372660753463,37.517558692139914,37.53635854885327
0.93,0.7087653684532459,0.1109896947723602,18.607506691792786,1.4614572868030746,0.22885810368966333,37.88321829635189,0.018607506691792786,7.174029968325524E-4,-1.1845775656404223,-0.18549989643475215,37.88321829635189,37.90218809923309
